delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	T_scs	status
-1.081162	-39.989980	-46.165254	0.797771	continued:5	4304	5893445890180755132129303895580738025395601534030005025588135839	-1,0,0,0,0,-10	ok
-1.079158	-39.989980	-46.548849	0.796729	continued:5	4479	1646965240010124219420749122672658608508807430887981926932117888659190170	-1,0,0,0,0,13	ok
-1.077154	-39.989980	-46.903451	0.796020	continued:5	4548	167507608980946041865232492532911310414324854249830874781414301423528469120914203827	-1,0,0,0,0,-1,4	ok
-1.075150	-39.989980	-47.227683	0.798479	full	1930	403747190510419467635	-1,0,0,7,3	ok
-1.073146	-39.989980	-45.349317	0.800023	continued:5	831	137520069382767470	-1,0,0,0,0,-1,0	ok
-1.071142	-39.989980	-45.781494	0.797898	continued:5	523	371299112589839	-1,0,0,0,-1,0,0	ok
-1.069138	-39.989980	-46.191165	0.796315	continued:5	178	171642627464	-1,0,0,0,1,0	ok
-1.067134	-39.989980	-46.574874	0.795272	continued:5	2701	498768035658203820272194170320	-1,0,0,0,0,0,1	ok
-1.065130	-39.989980	-46.929060	0.794564	continued:5	4627	2325760963114008316316470162697576644164735597435999859755596951732431464000497287412950563690124709796683583618887482374801077969455465736610077	-1,0,0,0,0,-2,13	ok
-1.063126	-39.989980	-47.252434	0.797023	full	1812	87669776307814127870	-1,0,0,13,-2	ok
-1.061122	-39.989980	-45.382066	0.798689	continued:5	4277	5183011472602943070691271219156713490337408661837767174376952	-1,0,0,0,0,0,-3	ok
-1.059118	-39.989980	-45.813347	0.796564	continued:5	1995	1087000418376733258139	-1,0,0,0,-4,0	ok
-1.057114	-39.989980	-46.221749	0.794981	continued:5	2785	20590132362758491734000313565702	-1,0,0,0,9	ok
-1.055110	-39.989980	-46.603828	0.793938	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.053106	-39.989980	-46.956067	0.793230	continued:5	3841	1814918863205804152445672723420861327	-1,0,0,0,13	ok
-1.051102	-39.989980	-47.277238	0.795561	full	2530	195960873613254792935866160	-1,0,-1,-13,4,-1	ok
-1.049098	-39.989980	-45.411511	0.797301	continued:5	4564	840037643231815531619074622494530067449102784593145228366806142334593861365689598269470440404064452	-1,0,0,0,0,-1,-6	ok
-1.047094	-39.989980	-45.842762	0.795177	continued:5	730	30124139508098375	-1,0,0,-1,-2,-1	ok
-1.045090	-39.989980	-46.250644	0.793593	continued:5	565	942123129948464	-1,0,0,-1,-1,0,0	ok
-1.043086	-39.989980	-46.631748	0.792550	continued:5	831	137520069382767470	-1,0,0,0,0,-1,0	ok
-1.041082	-39.989980	-46.982616	0.791842	continued:5	614	2409127784936339	-1,0,0,-1,0,1	ok
-1.039078	-39.989980	-47.302096	0.794095	full	2387	2135876618402379902475470	-1,0,-1,1,3,1	ok
-1.037074	-39.989980	-45.435507	0.795830	continued:5	2327	572501054982951862187000	-1,0,0,1,0,-1,-1	ok
-1.035070	-39.989980	-45.868153	0.793705	continued:5	4272	197760985411281936007956130022220847207723292051187370837577	-1,0,0,1,-1,8	ok
-1.033066	-39.989980	-46.276744	0.792121	continued:5	230	610339579745	-1,0,0,1,-2	ok
-1.031062	-39.989980	-46.657948	0.791079	continued:5	4601	96496137485331080678375808462969212061981485250719826742335568627268781906879638760872655043885973689206381105824683616335803786001744314452	-1,0,0,0,0,1,12	ok
-1.029058	-39.989980	-47.008390	0.790371	continued:5	2524	169790807844029674809551660	-1,0,0,-2,6	ok
-1.027054	-39.989980	-47.327008	0.792623	full	3952	6145767566205463610632039500912318230	-1,0,-1,0,13,0	ok
-1.025050	-39.989980	-45.468540	0.794481	continued:5	4587	5326765840307727969424686241221162622800633088501716453702036469788380692623076889075607648206042308110479706124080230935415913996095	-1,0,0,0,2,-1,-11	ok
-1.023046	-39.989980	-45.900259	0.792356	continued:5	3904	2171821272184063256180003302592651180	-1,0,0,2,13	ok
-1.021042	-39.989980	-46.307548	0.790772	continued:5	87	7657711889	-1,0,0,3,0	ok
-1.019038	-39.989980	-46.687091	0.789730	continued:5	195	240301594139	-1,0,0,4,0	ok
-1.017034	-39.989980	-47.035564	0.789022	continued:5	2602	2768561302690936261033166075	-1,0,0,6,-3,-2	ok
-1.015030	-39.989980	-47.351974	0.791146	full	4589	1284439369327483435812031008749314626706608472097202009574577891053146438156935417247392620992514336568198393508176201387619918203058002	-1,0,-1,0,0,0,11	ok
-1.013026	-39.989980	-45.492669	0.792999	continued:5	4515	14584322310035017492154049764808309042336456037828522141527574422548962670	-1,0,0,0,-13,13	ok
-1.011022	-39.989980	-45.925784	0.790874	continued:5	1583	6423577368172210589	-1,0,0,-13,0,0	ok
-1.009018	-39.989980	-46.333774	0.789291	continued:5	2162	17178002177894632763339	-1,0,0,13,-1,1	ok
-1.007014	-39.989980	-46.713407	0.788248	continued:5	1980	829228365148153338590	-1,0,0,13,-2,0	ok
-1.005010	-39.989980	-47.061448	0.787540	continued:5	2692	303833777138306157962696739089	-1,0,0,13,7	ok
-1.003006	-39.989980	-47.376994	0.789665	full	2396	3520774497029448946362089	-1,0,0,0,1,1,0	ok
-1.001002	-39.989980	-45.525146	0.791591	continued:5	3945	5633135988613421450344398262776323300	-1,0,0,13,13	ok
-0.998998	-39.989980	-45.957917	0.789467	continued:5	1950	548741497976242792685	-1,0,-1,13,2	ok
-0.996994	-39.989980	-46.365101	0.788011	continued:5	1422	1993045351426762127	-1,0,-1,-13,0	ok
-0.994990	-39.989980	-46.742225	0.786761	continued:5	1604	8394478912295560502	-1,0,-1,6,-3	ok
-0.992986	-39.989980	-47.089568	0.786260	continued:5	4462	173781494910001251119518522565260303871125328907009192987460252382242910	-1,0,-1,-3,1,-13	ok
